"","MAbias","MAvar","MAmse","poisbias","poisvar","poismse","gambias","gamvar","gammse","weibbias","weibvar","weibmse","bptbias","bptvar","bptmse","lnormbias","lnormvar","lnormmse"
"30",248.535342087283,46251.3077186495,108021.123985092,246.648864522558,119567.56393582,180403.226306087,256.687628396415,58936.4886333502,124825.027205126,248.535342087283,46251.3077186495,108021.123985092,239.581894460253,85789.82516896,143189.309322124,276.030138634616,125597.164634279,201789.802068925
"31",290.271976428696,74947.7204277272,159205.540727549,289.512682970075,130266.880159162,214084.473759693,293.922209554051,75335.655086249,161725.920355384,291.943022354812,81160.4097712974,166391.13807296,275.515386737352,108936.232539997,184844.960869029,287.181566311502,129720.848487483,212194.100516611
"32",66088.933749551,3381511885.74494,7749259049.89749,67829.0218832375,8505922972.9805,13106699182.6172,65441.0596365183,3830978232.23732,8113510518.58766,66088.933749551,3381511885.74494,7749259049.89749,61399.3947085924,9948178009.41044,13718063679.992,72898.9662573156,9944914532.64225,15259173814.0275
"33",-302.026083821763,542933.455135416,634153.210444127,-296.089853049828,3500844.98444941,3588514.18552848,-292.473072282541,628345.274137542,713885.77214793,-303.966024893966,518031.7396226,610427.083912439,-382.626849240793,1563621.10583483,1710024.41159477,-96.7552511295282,3465697.58034823,3475059.15896937
"34",-367.455580167615,144646.052666444,279669.656062762,-363.839695803887,491333.434885849,623712.759128515,-367.791201447457,163728.930598664,298999.298460828,-367.455580167615,144646.052666444,279669.656062762,-425.636253521396,182578.007279664,363744.227591394,-336.310241213922,248639.663169309,361744.241514676
"35",-294.280840726525,573733.976478295,660335.189697006,-316.375735433315,695075.646112843,795169.252083814,-299.471350024443,390237.490107448,479920.579592911,-302.149273933356,452614.872718597,543909.056457052,-437.908779876978,343058.171222217,534822.270715561,-287.154494558779,718080.880866401,800538.584611709
"36",-227.31107358896,2762546.99808376,2814217.32225993,-348.192043363757,1224419.046747,1345656.74580883,-356.11844829322,841936.664285621,968757.013500392,-353.15252814368,659236.740524445,783953.448658718,-683.480922686661,750491.882737237,1217638.05441385,-126.99711974576,3944448.76555576,3960577.03397948
"37",678188.529694434,481782401897.294,941722083706.393,678188.529694434,481782401897.294,941722083706.393,654344.189173793,610395959822.462,1038562277727.97,685869.209554546,809249695541.64,1279666268156.62,233871.880895218,382155856009.502,436851912682.969,1410985.69373612,34992976662595.5,36983857290523.5
"38",1235.98893874831,3582567.28034476,5110235.93705292,1216.16882436654,3300172.47986265,4779239.08922374,1219.75398920585,3753038.36018581,5240838.15436939,1234.41761335729,4108250.6858717,5632037.5300384,340.409312685989,1708273.14479357,1824151.64495692,1439.24805429105,13798971.7938028,15870406.7555833
"39",280.354697692888,171964.584083825,250563.340602296,278.433291977938,2160930.28004369,2238455.37812537,276.148342899169,161370.227089463,237628.13437542,268.95092818279,205371.220728803,277705.822499187,164.077583780153,155085.845352116,182007.298851249,277.182297882263,171123.447914014,247953.474173306
"40",-1337.38529060847,1869435.12280356,3658034.53833947,-1308.74035496455,19503515.3034196,21216316.6201323,-1295.78268330437,1893601.76911224,3572654.53146371,-1348.87591253882,1793583.87187376,3613050.09930119,-1291.3152422387,3927785.72389441,5595280.77873241,-1247.24937729456,2377108.71290638,3932739.72206804
"41",104.884149941971,1850.03922775933,12850.7241368092,108.189400400591,39200.7320942587,50905.678453298,104.243995855141,1855.61449670204,12722.4251685488,104.884149941971,1850.03922775933,12850.7241368092,104.698604987957,2001.25845091547,12963.0563373396,104.568856643746,2015.73419236919,12950.3799721494
"42",733.138815440894,402557.086106179,940049.608812257,749.829400825978,1709998.02181988,2272242.15216293,717.724750003378,513493.06290135,1028621.87966876,733.138815440894,402557.086106179,940049.608812257,501.691341459141,438827.690011603,690521.892106675,766.157041460013,824677.099763282,1411673.71194204
